iter	RMSE
0	34.3902936
1	28.6155523
2	24.22411711
3	20.56894201
4	17.64289779
5	15.34533416
6	13.52141939
7	12.01274107
8	10.8663653
9	9.940193379
10	9.22014396
11	8.631449432
12	8.17453428
13	7.683963077
14	7.413151468
15	7.103157004
16	6.936793547
17	6.679970497
18	6.51426483
19	6.402409336
20	6.253679477
21	6.154359117
22	6.087957666
23	6.015952643
24	5.97439774
25	5.92490377
26	5.887494462
27	5.850850328
28	5.760493926
29	5.713323022
30	5.674724417
31	5.598746894
32	5.559894767
33	5.539279824
34	5.515901339
35	5.499930712
36	5.434630565
37	5.419898281
38	5.396331429
39	5.34865863
40	5.263422612
41	5.219625003
42	5.147871743
43	5.117042661
44	5.059446811
45	5.027504769
46	4.971627166
47	4.928689234
48	4.874848004
49	4.839927093
50	4.825710399
51	4.780907866
52	4.752912758
53	4.731417224
54	4.718003052
55	4.69646851
56	4.677717117
57	4.64171415
58	4.60507927
59	4.590094731
60	4.574867807
61	4.537221437
62	4.513937009
63	4.493386973
64	4.478482203
65	4.449948743
66	4.438290473
67	4.422006852
68	4.397720546
69	4.390246781
70	4.383519705
71	4.352290968
72	4.337855446
73	4.298966189
74	4.276993969
75	4.260537987
76	4.243710439
77	4.230768301
78	4.221555736
79	4.191118259
80	4.179531008
81	4.169056138
82	4.151017099
83	4.139045157
84	4.122838285
85	4.116341481
86	4.098483771
87	4.078190307
88	4.062639543
89	4.041976599
90	4.03391357
91	4.016554109
92	4.001929353
93	3.988537679
94	3.976630709
95	3.967839932
96	3.961136115
97	3.943310547
98	3.926342251
99	3.903104138
100	3.890088526
101	3.886295536
102	3.878388762
103	3.86258477
104	3.856908637
105	3.845644901
106	3.825446829
107	3.820586946
108	3.809766435
109	3.801688595
110	3.775804999
111	3.75860148
112	3.732410272
113	3.7213179
114	3.716478485
115	3.70535763
116	3.693854825
117	3.684642732
118	3.671478605
119	3.663238593
120	3.652866614
121	3.64625902
122	3.633631514
123	3.630590943
124	3.620737194
125	3.609941616
126	3.597550135
127	3.592940697
128	3.583282266
129	3.577824615
130	3.569354461
131	3.562733633
132	3.558364449
133	3.552701999
