iter	Passed	Remaining
0	9	9307
1	16	8057
2	23	7861
3	30	7717
4	38	7752
5	46	7704
6	54	7694
7	61	7645
8	70	7731
9	78	7741
10	85	7707
11	93	7696
12	102	7749
13	111	7844
14	122	8043
15	132	8138
16	141	8167
17	150	8234
18	160	8301
19	171	8399
20	182	8512
21	194	8629
22	205	8727
23	215	8783
24	227	8864
25	239	8975
26	252	9093
27	264	9175
28	277	9304
29	290	9388
30	300	9399
31	310	9404
32	322	9453
33	333	9480
34	345	9524
35	356	9555
36	368	9592
37	380	9624
38	390	9630
39	401	9628
40	412	9639
41	421	9612
42	430	9588
43	440	9568
44	450	9550
45	459	9537
46	469	9518
47	478	9494
48	489	9491
49	498	9479
50	508	9458
51	517	9439
52	527	9420
53	537	9409
54	546	9394
55	555	9367
56	564	9337
57	573	9312
58	582	9288
59	591	9268
60	600	9247
61	609	9219
62	618	9196
63	628	9189
64	636	9162
65	646	9142
66	654	9117
67	664	9105
68	673	9082
69	681	9059
70	691	9042
71	700	9028
72	709	9005
73	718	8986
74	727	8975
75	737	8971
76	748	8969
77	758	8961
78	767	8951
79	777	8936
80	786	8921
81	795	8911
82	804	8886
83	814	8883
84	823	8867
85	832	8847
86	841	8832
87	850	8816
88	860	8810
89	870	8798
90	880	8790
91	888	8771
92	897	8754
93	906	8739
94	915	8718
95	924	8705
96	934	8696
97	943	8686
98	953	8681
99	963	8670
100	973	8662
101	982	8652
102	992	8639
103	1001	8628
104	1011	8618
105	1020	8604
106	1029	8588
107	1038	8573
108	1046	8556
109	1056	8544
110	1065	8535
111	1074	8520
112	1083	8507
113	1092	8490
114	1101	8475
115	1110	8464
116	1119	8447
117	1128	8435
118	1138	8431
119	1149	8426
120	1158	8415
121	1168	8410
122	1177	8398
123	1187	8391
124	1196	8377
125	1205	8363
126	1215	8353
127	1223	8336
128	1232	8321
129	1241	8307
130	1251	8300
131	1260	8286
132	1269	8276
133	1278	8264
134	1287	8250
135	1296	8238
136	1305	8223
137	1314	8211
138	1324	8203
139	1333	8189
140	1343	8185
141	1353	8179
142	1363	8171
143	1372	8158
144	1382	8149
145	1391	8141
146	1401	8129
147	1410	8119
148	1419	8106
149	1428	8093
150	1438	8085
151	1447	8075
152	1455	8058
153	1465	8050
154	1474	8037
155	1483	8025
156	1493	8017
157	1502	8005
158	1511	7996
159	1520	7983
160	1529	7972
161	1540	7968
162	1550	7960
163	1560	7952
164	1568	7938
165	1577	7925
166	1586	7915
167	1595	7901
168	1605	7892
169	1614	7882
170	1623	7871
171	1633	7862
172	1643	7855
173	1652	7845
174	1661	7834
175	1671	7826
176	1680	7814
177	1690	7808
178	1700	7797
179	1708	7784
180	1718	7774
181	1728	7768
182	1738	7763
183	1748	7754
184	1758	7744
185	1766	7731
186	1776	7721
187	1785	7710
188	1794	7701
189	1803	7689
190	1813	7679
191	1821	7667
192	1831	7656
193	1840	7647
194	1849	7634
195	1858	7624
196	1867	7613
197	1876	7598
198	1885	7588
199	1894	7577
200	1903	7564
201	1912	7556
202	1922	7546
203	1932	7539
204	1942	7531
205	1951	7522
206	1961	7512
207	1970	7503
208	1980	7494
209	1988	7481
210	1997	7471
211	2007	7462
212	2016	7452
213	2026	7442
214	2035	7433
215	2044	7421
216	2054	7412
217	2064	7406
218	2073	7395
219	2082	7385
220	2091	7372
221	2100	7362
222	2110	7354
223	2120	7346
